"Gene","distance","Z","FC","p_value","p_adj"
"AC005253.1",1.03650041732037e-16,-1.61850106522391,2.18966082767486e-17,0.999999996266394,0.999999999882318
"OR2A25",1.0345848513913e-16,-1.61856055225792,2.18157484195507e-17,0.999999996273294,0.999999999882318
"FAM95B1",1.03341522479526e-16,-1.61859692182696,2.17664496962952e-17,0.999999996277507,0.999999999882318
"CST6",1.01799529928559e-16,-1.61907979896101,2.11217273230746e-17,0.999999996333052,0.999999999882318
"GPR35",1.01223771533779e-16,-1.61926173853829,2.08834821825508e-17,0.999999996353791,0.999999999882318
"DLL1",1.00929763422705e-16,-1.61935499413162,2.07623447015781e-17,0.999999996364382,0.999999999882318
"SSUH2",1.00491413737928e-16,-1.61949447479233,2.05823897857239e-17,0.999999996380172,0.999999999882318
"TRAC",1.0024424247435e-16,-1.61957335803553,2.04812643545592e-17,0.999999996389075,0.999999999882318
"CERS3-AS1",1.00003931719337e-16,-1.61965021491588,2.03831845347281e-17,0.999999996397732,0.999999999882318
"KLK1",9.97473430510777e-17,-1.61973245621397,2.02787209514639e-17,0.999999996406974,0.999999999882318
"AC116667.1",9.94738903029504e-17,-1.61982030650361,2.01676869980891e-17,0.999999996416824,0.999999999882318
"SGSM1",9.92150144490844e-17,-1.61990366845584,2.00628527833111e-17,0.999999996426149,0.999999999882318
"NTM",9.88554902696497e-17,-1.62001975655027,1.9917713224548e-17,0.9999999964391,0.999999999882318
"SLC14A1",9.85917175273725e-17,-1.62010516198013,1.98115635181064e-17,0.999999996448601,0.999999999882318
"AGTR2",9.84153934514552e-17,-1.6201623643385,1.97407638200945e-17,0.999999996454953,0.999999999882318
"C2CD4A",9.82235756368882e-17,-1.62022469491362,1.96638868224915e-17,0.999999996461862,0.999999999882318
"LAIR2",9.75206246662969e-17,-1.62045402947839,1.93834391599568e-17,0.999999996487183,0.999999999882318
"JCHAIN",9.73112686274267e-17,-1.62052261011979,1.93003042501537e-17,0.999999996494725,0.999999999882318
"DMRTA1",9.729978255701e-17,-1.62052637644499,1.92957483220765e-17,0.999999996495138,0.999999999882318
"CD7",9.6828437892556e-17,-1.62068126823288,1.91092541970159e-17,0.999999996512117,0.999999999882318
"COMP",9.60823854661449e-17,-1.62092778570801,1.88159192353211e-17,0.999999996538991,0.999999999882318
"OR5AU1",9.59891801960318e-17,-1.62095870088835,1.87794319601126e-17,0.999999996542348,0.999999999882318
"SLC25A34",9.59732849500383e-17,-1.6209639757877,1.87732129472033e-17,0.99999999654292,0.999999999882318
"CYFIP2",9.57482032385695e-17,-1.62103875209533,1.86852603058186e-17,0.999999996551028,0.999999999882318
"TAC1",9.51560080306338e-17,-1.62123622656517,1.84548413076293e-17,0.99999999657236,0.999999999882318
"KLK8",9.49591301108087e-17,-1.62130211572942,1.83785541211774e-17,0.999999996579452,0.999999999882318
"FGFBP2",9.48864340782204e-17,-1.62132647510254,1.83504254607421e-17,0.99999999658207,0.999999999882318
"CUBN",9.46899586294633e-17,-1.62139239283772,1.82745099652358e-17,0.999999996589148,0.999999999882318
"AC068831.1",9.4660363568748e-17,-1.62140233236994,1.82630884645491e-17,0.999999996590214,0.999999999882318
"CCDC190",9.44685223808618e-17,-1.62146682836887,1.81891385620398e-17,0.999999996597124,0.999999999882318
"AF121898.1",9.42669642019333e-17,-1.62153471458482,1.8111604617821e-17,0.999999996604384,0.999999999882318
"OXTR",9.32870467112471e-17,-1.62186657619957,1.77370167113342e-17,0.999999996639682,0.999999999882318
"TNFRSF18",9.23801716031045e-17,-1.62217642646748,1.73938377947299e-17,0.999999996672349,0.999999999882318
"CD40LG",9.21936581298231e-17,-1.62224048153267,1.73236731679179e-17,0.999999996679067,0.999999999882318
"AL121929.2",9.17601313527334e-17,-1.62238980800251,1.71611323082297e-17,0.999999996694684,0.999999999882318
"TNF",9.153140685975e-17,-1.62246883979636,1.70756860644366e-17,0.999999996702923,0.999999999882318
"CYSLTR1",9.12589985388248e-17,-1.6225631912656,1.69741987753571e-17,0.999999996712735,0.999999999882318
"ECEL1",9.10229243365878e-17,-1.62264515730914,1.68864926311907e-17,0.999999996721239,0.999999999882318
"SCN7A",9.09463296302042e-17,-1.62267179125842,1.68580850238258e-17,0.999999996723998,0.999999999882318
"AC009119.2",9.09017261842355e-17,-1.62268731005601,1.68415534210503e-17,0.999999996725604,0.999999999882318
"C17orf50",9.05585992237986e-17,-1.62280691660969,1.6714649682949e-17,0.999999996737964,0.999999999882318
"CD6",9.0506846753331e-17,-1.62282499074727,1.66955509502118e-17,0.999999996739829,0.999999999882318
"LINC01127",9.01107208697341e-17,-1.6229636344691,1.65497262484979e-17,0.999999996754098,0.999999999882318
"AL355388.2",8.99747526003813e-17,-1.62301134604436,1.64998200903792e-17,0.999999996758995,0.999999999882318
"TTC25",8.99427485038991e-17,-1.62302258551479,1.64880841777408e-17,0.999999996760148,0.999999999882318
"KLHL30",8.98596489631804e-17,-1.62305178544416,1.64576310441079e-17,0.999999996763141,0.999999999882318
"ANGPTL7",8.96778273296336e-17,-1.62311575722265,1.63910978217401e-17,0.999999996769691,0.999999999882318
"GRAP2",8.95655005233638e-17,-1.62315533473622,1.63500618902633e-17,0.999999996773737,0.999999999882318
"AC107959.2",8.88342117151769e-17,-1.6234140645066,1.60841602827192e-17,0.999999996800079,0.999999999882318
"HAS2-AS1",8.87401510973264e-17,-1.62344747810327,1.6050117427437e-17,0.999999996803467,0.999999999882318
"AC119674.1",8.83501376310504e-17,-1.62358635549041,1.59093467388542e-17,0.999999996817516,0.999999999882318
"HAMP",8.82360313849459e-17,-1.62362708814707,1.58682786976272e-17,0.999999996821626,0.999999999882318
"KLK4",8.7518390630044e-17,-1.62388432557088,1.56112087899329e-17,0.999999996847477,0.999999999882318
"CLPB",8.70603715079405e-17,-1.62404946725869,1.5448236823338e-17,0.999999996863975,0.999999999882318
"LRRIQ3",8.67767583089028e-17,-1.62415210680499,1.53477505204496e-17,0.999999996874191,0.999999999882318
"EDN2",8.666245439132e-17,-1.62419355626327,1.53073444799015e-17,0.999999996878308,0.999999999882318
"IRF4",8.65488699309514e-17,-1.62423479217999,1.52672455218621e-17,0.9999999968824,0.999999999882318
"KL",8.60161786867792e-17,-1.62442881466249,1.50798900925141e-17,0.999999996901588,0.999999999882318
"MARCH1",8.59983793846176e-17,-1.62443531582412,1.50736497839289e-17,0.999999996902229,0.999999999882318
"SELL",8.59021656529452e-17,-1.62447047807878,1.50399402925829e-17,0.999999996905695,0.999999999882318
"AJAP1",8.50604983288558e-17,-1.62477954979439,1.47466621953687e-17,0.999999996936013,0.999999999882318
"ANPEP",8.3654723028873e-17,-1.62530178028286,1.42632606205935e-17,0.999999996986651,0.999999999882318
