"gene","Subject 1 - CSU v3","Subject 1 - CSU v6","Subject 2 - CSU v3","Subject 2 - CSU v6","Subject 3 - CSU v3","Subject 3 - CSU v6","Subject 4 - CSU v3","Subject 4 - CSU v6","Subject 1 - non-CSU","Subject 2 - non-CSU","Subject 3 - non-CSU","Subject 4 - non-CSU","Subject 5 - non CSU","Subject 6 - non CSU","Subject 5 - CSU v3","Subject 5 - CSU v6","Subject 6 - CSU v3","Subject 6 - CSU v6","Subject 7 - CSU v3","Subject 7 - CSU v6","Subject 8 - CSU v3"
"ENSG00000133884",13.48324,13.42595,13.61072,13.82411,13.54535,13.62531,13.28979,13.15629,13.74041,13.82739,13.40852,13.68117,13.64272,13.73123,13.69085,13.95162,13.56187,13.68924,13.81191,14.00114,13.92846
"ENSG00000133997",11.9568,11.64769,12.07662,11.536,11.91521,12.04321,11.27207,11.91464,11.71543,12.24431,11.07943,11.43566,11.7648,12.28779,12.27855,12.23575,12.18221,12.26718,12.09889,12.06433,12.06245
"ENSG00000134046",12.83689,12.79948,12.50681,12.65069,12.69082,12.8901,13.02246,13.1731,12.85011,12.7105,12.69823,12.79026,12.91276,12.8317,12.84788,12.81533,12.98076,12.93211,12.91254,12.50112,12.84292
"ENSG00000134058",13.10136,12.14208,12.94119,12.77627,12.47539,12.52431,12.1278,12.71274,12.46422,12.59092,12.81548,12.39384,13.04653,12.87526,12.89881,13.21569,12.718,12.86982,12.9807,12.91201,12.92601
"ENSG00000134072",15.25023,15.02329,15.43003,15.28822,15.10723,15.26435,15.37397,15.10363,15.64768,15.76934,15.66261,15.51246,14.8264,14.45141,14.41437,14.57334,14.29546,14.11614,14.56896,14.66676,14.21934
"ENSG00000134107",14.98223,14.67195,15.12816,14.82456,15.09855,15.21323,14.7547,14.99722,14.69377,15.38243,14.85674,14.72761,14.51998,15.61445,15.07292,15.04827,15.04356,14.93601,14.44806,14.93344,14.94934
"ENSG00000134108",11.90641,11.90589,11.44005,11.13613,11.5947,11.08405,11.1107,11.25522,11.13819,10.92749,11.15321,11.28688,11.72405,11.41058,11.46759,11.51449,11.5823,11.28489,11.73385,11.34846,11.32023
"ENSG00000134153",12.97271,13.04024,12.95086,12.53292,12.58178,12.7465,12.13299,12.48396,12.29244,13.21528,12.19927,12.19117,12.80405,12.40391,12.52807,12.66761,12.47782,12.47056,12.72578,12.41976,12.14921
"ENSG00000134186",11.02842,10.58432,10.84129,11.07724,10.63548,10.70558,11.25411,11.10553,11.23458,11.1387,11.14666,11.18251,11.33236,11.39028,11.35779,11.45175,11.48345,11.40871,10.96366,11.28213,11.27798
"ENSG00000134198",11.37356,12.03465,11.11373,10.47104,11.40452,10.54269,11.13619,11.26994,10.54437,10.98473,11.12699,10.7083,12.33741,11.8207,10.93495,10.73364,11.65278,11.58931,11.28736,10.83259,11.33357
"ENSG00000134215",9.95552,9.759361,10.23732,10.21916,10.37938,10.19734,10.59903,10.4692,10.25482,9.739904,10.50368,10.56195,10.61665,10.86875,10.41824,10.44599,10.65315,10.65837,10.93325,10.5655,10.89136
"ENSG00000134248",14.78362,14.79396,14.90489,14.64565,14.46789,14.38351,14.44443,14.37579,14.97784,14.90045,14.63358,14.60668,14.09844,13.71013,14.15737,14.23417,14.0024,13.76042,13.96354,14.00859,13.57103
